nzft_id,entity,entity_clean,transition_plan,coalitions,country_cpi,region_cpi,entity_sector_cpi,entity_subsector_cpi,aum_quartile,aum_or_total_assets
NZFT_00001,1199seiu united healthcare workers east pension fund,1199SEIU United Healthcare Workers East Pension Fund,False,,United States of America,US & Canada,Asset Owner,Pension Fund,Medium-small,15869.0
NZFT_00004,a.s.r. asset management,a.s.r. Asset Management,True,NZAM,Netherlands,Western Europe,Asset Manager,Asset Manager,Large,77004.0
NZFT_00007,abbott capital,Abbott Capital,False,PRI,United States of America,US & Canada,"PE, VC, and Hedge Fund",Private Equity and Venture Capital,Medium-small,13145.0
NZFT_00008,abeille retraite professionnelle,Abeille Retraite Professionnelle,False,,France,Western Europe,Asset Owner,Pension Fund,Medium-small,7720.0
NZFT_00009,abn amro bank n.v.,ABN AMRO Bank,True,"NZBA, BEI, CA100, IFRS, PCAF, PRB, PRI",Netherlands,Western Europe,Bank,Universal Bank,Large,306256.0
NZFT_00010,abn amro investment solutions,ABN AMRO Investment Solutions,False,NZAM,France,Western Europe,Asset Manager,Asset Manager,Large,247365.0
NZFT_00011,abn amro pensioeninstelling nv,ABN AMRO Pensioeninstelling,False,,Netherlands,Western Europe,Asset Owner,Pension Fund,Medium-large,28036.0
NZFT_00012,abp,ABP,False,"PAAO, PPCA, PRI",Netherlands,Western Europe,Asset Owner,Pension Fund,Large,522423.0
NZFT_00013,abrdn,abrdn,False,"NZAM, CA100, PPCA",United Kingdom,Western Europe,Asset Manager,Asset Manager,Large,640063.0
NZFT_00015,abrppvm - montreal police pension fund,ABRPPVM - Montreal Police Pension Fund,False,,Canada,US & Canada,Asset Owner,Pension Fund,Medium-small,5161.0
NZFT_00017,abu dhabi developmental holding company,Abu Dhabi Developmental Holding Company,True,,United Arab Emirates,Middle East and North Africa,Asset Owner,Sovereign Wealth Fund,Large,248000.0
NZFT_00018,abu dhabi investment authority,Abu Dhabi Investment Authority,False,,United Arab Emirates,Middle East and North Africa,Asset Owner,Sovereign Wealth Fund,Large,968000.0
NZFT_00019,acadian asset management,Acadian Asset Management,False,"NZAM, PRI",United States of America,US & Canada,Asset Manager,Asset Manager,Large,122000.0
